lr: 0.05
batch_size: 256
txt_file_name: ./preparing_clip/pth/cifar100_a_photo_of_label.pth
Epoch: [0][0/196]	 loss 35.03744	 loss_align: 27.8351 loss_distill: 7.2024 
Epoch: [1][40/196]	 loss 4.04969	 loss_align: 0.4083 loss_distill: 3.6414 
Epoch: [1][45/196]	 loss 4.07633	 loss_align: 0.4838 loss_distill: 3.5926 
Epoch: [1][50/196]	 loss 3.64381	 loss_align: 0.3801 loss_distill: 3.2637 
Epoch: [1][55/196]	 loss 4.04841	 loss_align: 0.5073 loss_distill: 3.5411 
Epoch: [1][60/196]	 loss 3.55664	 loss_align: 0.3583 loss_distill: 3.1984 
Epoch: [1][65/196]	 loss 3.80416	 loss_align: 0.4251 loss_distill: 3.3790 
Epoch: [1][70/196]	 loss 3.77797	 loss_align: 0.3737 loss_distill: 3.4043 
Epoch: [1][75/196]	 loss 3.58940	 loss_align: 0.3904 loss_distill: 3.1990 
Epoch: [1][80/196]	 loss 3.73408	 loss_align: 0.3564 loss_distill: 3.3777 
Epoch: [1][85/196]	 loss 3.69660	 loss_align: 0.4171 loss_distill: 3.2795 
Epoch: [1][90/196]	 loss 3.74540	 loss_align: 0.4162 loss_distill: 3.3292 
Epoch: [1][95/196]	 loss 3.80668	 loss_align: 0.3725 loss_distill: 3.4342 
Epoch: [1][100/196]	 loss 3.69240	 loss_align: 0.4030 loss_distill: 3.2894 
Epoch: [1][105/196]	 loss 3.85627	 loss_align: 0.4638 loss_distill: 3.3925 
Epoch: [1][110/196]	 loss 3.83649	 loss_align: 0.3610 loss_distill: 3.4755 
Epoch: [1][115/196]	 loss 3.90872	 loss_align: 0.4053 loss_distill: 3.5034 
Epoch: [1][120/196]	 loss 3.78017	 loss_align: 0.4514 loss_distill: 3.3288 
Epoch: [1][125/196]	 loss 3.79056	 loss_align: 0.3693 loss_distill: 3.4212 
Epoch: [1][130/196]	 loss 3.98804	 loss_align: 0.5393 loss_distill: 3.4488 
Epoch: [1][135/196]	 loss 3.80272	 loss_align: 0.3558 loss_distill: 3.4469 
Epoch: [1][140/196]	 loss 3.78093	 loss_align: 0.4680 loss_distill: 3.3129 
Epoch: [1][145/196]	 loss 3.68674	 loss_align: 0.2996 loss_distill: 3.3872 
Epoch: [1][150/196]	 loss 3.49264	 loss_align: 0.2977 loss_distill: 3.1949 
Epoch: [1][155/196]	 loss 3.71833	 loss_align: 0.4005 loss_distill: 3.3179 
Epoch: [1][160/196]	 loss 3.73244	 loss_align: 0.3937 loss_distill: 3.3387 
Epoch: [1][165/196]	 loss 3.52959	 loss_align: 0.3646 loss_distill: 3.1650 
Epoch: [1][170/196]	 loss 3.71168	 loss_align: 0.3318 loss_distill: 3.3799 
Epoch: [1][175/196]	 loss 3.66423	 loss_align: 0.3823 loss_distill: 3.2819 
Epoch: [1][180/196]	 loss 3.54256	 loss_align: 0.3218 loss_distill: 3.2207 
Epoch: [1][185/196]	 loss 3.78216	 loss_align: 0.4729 loss_distill: 3.3092 
Epoch: [1][190/196]	 loss 3.73293	 loss_align: 0.3525 loss_distill: 3.3804 
Epoch: [1][195/196]	 loss 1.08310	 loss_align: 0.1899 loss_distill: 0.8932 
Train Epoch: 1 Avg Loss: 3.8315 Batch_size: 256 lr: 0.04942327 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [2][0/196]	 loss 4.04219	 loss_align: 0.5020 loss_distill: 3.5402 
Epoch: [2][5/196]	 loss 3.49416	 loss_align: 0.2571 loss_distill: 3.2371 
Epoch: [2][10/196]	 loss 3.63646	 loss_align: 0.3726 loss_distill: 3.2639 
Epoch: [2][15/196]	 loss 3.71775	 loss_align: 0.3739 loss_distill: 3.3438 
Epoch: [2][20/196]	 loss 3.64615	 loss_align: 0.3340 loss_distill: 3.3122 
Epoch: [2][25/196]	 loss 3.52202	 loss_align: 0.3642 loss_distill: 3.1579 
Epoch: [2][30/196]	 loss 3.58021	 loss_align: 0.4193 loss_distill: 3.1609 
Epoch: [2][35/196]	 loss 3.40401	 loss_align: 0.3302 loss_distill: 3.0738 
Epoch: [2][40/196]	 loss 3.42726	 loss_align: 0.3275 loss_distill: 3.0998 
Epoch: [2][45/196]	 loss 3.72722	 loss_align: 0.2824 loss_distill: 3.4448 
Epoch: [2][50/196]	 loss 3.45750	 loss_align: 0.3356 loss_distill: 3.1219 
Epoch: [2][55/196]	 loss 3.39916	 loss_align: 0.3158 loss_distill: 3.0834 
Epoch: [2][60/196]	 loss 3.44601	 loss_align: 0.3503 loss_distill: 3.0957 
Epoch: [2][65/196]	 loss 3.59816	 loss_align: 0.3181 loss_distill: 3.2801 
Epoch: [2][70/196]	 loss 3.38311	 loss_align: 0.3022 loss_distill: 3.0809 
Epoch: [2][75/196]	 loss 3.44078	 loss_align: 0.2853 loss_distill: 3.1554 
Epoch: [2][80/196]	 loss 3.48579	 loss_align: 0.2670 loss_distill: 3.2188 
Epoch: [2][85/196]	 loss 3.57050	 loss_align: 0.3394 loss_distill: 3.2310 
Epoch: [2][90/196]	 loss 3.33697	 loss_align: 0.3070 loss_distill: 3.0299 
Epoch: [2][95/196]	 loss 3.42824	 loss_align: 0.3018 loss_distill: 3.1265 
Epoch: [2][100/196]	 loss 3.08377	 loss_align: 0.2175 loss_distill: 2.8663 
Epoch: [2][105/196]	 loss 3.64732	 loss_align: 0.3001 loss_distill: 3.3473 
Epoch: [2][110/196]	 loss 3.43610	 loss_align: 0.2326 loss_distill: 3.2035 
Epoch: [2][115/196]	 loss 3.68986	 loss_align: 0.3896 loss_distill: 3.3002 
Epoch: [2][120/196]	 loss 3.54574	 loss_align: 0.3720 loss_distill: 3.1738 
Epoch: [2][125/196]	 loss 3.72511	 loss_align: 0.3067 loss_distill: 3.4184 
Epoch: [2][130/196]	 loss 3.60625	 loss_align: 0.3593 loss_distill: 3.2470 
Epoch: [2][135/196]	 loss 3.58495	 loss_align: 0.3677 loss_distill: 3.2173 
Epoch: [2][140/196]	 loss 3.39563	 loss_align: 0.3362 loss_distill: 3.0594 
Epoch: [2][145/196]	 loss 3.14546	 loss_align: 0.2867 loss_distill: 2.8588 
Epoch: [2][150/196]	 loss 3.38791	 loss_align: 0.2755 loss_distill: 3.1124 
Epoch: [2][155/196]	 loss 3.28075	 loss_align: 0.1950 loss_distill: 3.0857 
Epoch: [2][160/196]	 loss 3.43103	 loss_align: 0.2121 loss_distill: 3.2189 
Epoch: [2][165/196]	 loss 3.23384	 loss_align: 0.3798 loss_distill: 2.8541 
Epoch: [2][170/196]	 loss 3.21956	 loss_align: 0.2668 loss_distill: 2.9528 
Epoch: [2][175/196]	 loss 3.34121	 loss_align: 0.2438 loss_distill: 3.0974 
Epoch: [2][180/196]	 loss 3.48518	 loss_align: 0.3550 loss_distill: 3.1302 
Epoch: [2][185/196]	 loss 3.33895	 loss_align: 0.2087 loss_distill: 3.1302 
Epoch: [2][190/196]	 loss 3.38188	 loss_align: 0.3000 loss_distill: 3.0819 
Epoch: [2][195/196]	 loss 0.18153	 loss_align: 0.0770 loss_distill: 0.1045 
Train Epoch: 2 Avg Loss: 3.4670 Batch_size: 256 lr: 0.04854830 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [3][0/196]	 loss 3.47971	 loss_align: 0.3321 loss_distill: 3.1476 
Epoch: [3][5/196]	 loss 3.41708	 loss_align: 0.3267 loss_distill: 3.0904 
Epoch: [3][10/196]	 loss 3.41631	 loss_align: 0.3144 loss_distill: 3.1019 
Epoch: [3][15/196]	 loss 3.44496	 loss_align: 0.2141 loss_distill: 3.2309 
Epoch: [3][20/196]	 loss 3.53194	 loss_align: 0.3458 loss_distill: 3.1861 
Epoch: [3][25/196]	 loss 3.51398	 loss_align: 0.2581 loss_distill: 3.2559 
Epoch: [3][30/196]	 loss 3.43782	 loss_align: 0.3621 loss_distill: 3.0757 
Epoch: [3][35/196]	 loss 3.37969	 loss_align: 0.1963 loss_distill: 3.1834 
Epoch: [3][40/196]	 loss 3.07443	 loss_align: 0.2607 loss_distill: 2.8138 
Epoch: [3][45/196]	 loss 3.32020	 loss_align: 0.2730 loss_distill: 3.0472 
Epoch: [3][50/196]	 loss 3.25547	 loss_align: 0.2995 loss_distill: 2.9560 
Epoch: [3][55/196]	 loss 3.11430	 loss_align: 0.2140 loss_distill: 2.9003 
Epoch: [3][60/196]	 loss 3.46340	 loss_align: 0.3706 loss_distill: 3.0928 
Epoch: [3][65/196]	 loss 3.29868	 loss_align: 0.2253 loss_distill: 3.0733 
Epoch: [3][70/196]	 loss 3.66472	 loss_align: 0.2430 loss_distill: 3.4217 
Epoch: [3][75/196]	 loss 3.40346	 loss_align: 0.2998 loss_distill: 3.1036 
Epoch: [3][80/196]	 loss 3.26259	 loss_align: 0.2250 loss_distill: 3.0376 
Epoch: [3][85/196]	 loss 3.43631	 loss_align: 0.2031 loss_distill: 3.2332 
Epoch: [3][90/196]	 loss 3.22399	 loss_align: 0.1917 loss_distill: 3.0323 
Epoch: [3][95/196]	 loss 3.33028	 loss_align: 0.2242 loss_distill: 3.1061 
Epoch: [3][100/196]	 loss 3.25245	 loss_align: 0.2530 loss_distill: 2.9994 
Epoch: [3][105/196]	 loss 3.41242	 loss_align: 0.2068 loss_distill: 3.2057 
Epoch: [3][110/196]	 loss 3.33036	 loss_align: 0.2287 loss_distill: 3.1016 
Epoch: [3][115/196]	 loss 3.24284	 loss_align: 0.2192 loss_distill: 3.0237 
Epoch: [3][120/196]	 loss 3.15285	 loss_align: 0.2152 loss_distill: 2.9376 
Epoch: [3][125/196]	 loss 3.34973	 loss_align: 0.3263 loss_distill: 3.0235 
Epoch: [3][130/196]	 loss 3.49532	 loss_align: 0.2701 loss_distill: 3.2252 
Epoch: [3][135/196]	 loss 3.40112	 loss_align: 0.2582 loss_distill: 3.1429 
Epoch: [3][140/196]	 loss 2.99499	 loss_align: 0.2226 loss_distill: 2.7724 
Epoch: [3][145/196]	 loss 3.46303	 loss_align: 0.2130 loss_distill: 3.2500 
Epoch: [3][150/196]	 loss 3.60137	 loss_align: 0.2238 loss_distill: 3.3776 
Epoch: [3][155/196]	 loss 3.45809	 loss_align: 0.2416 loss_distill: 3.2165 
Epoch: [3][160/196]	 loss 3.17945	 loss_align: 0.2303 loss_distill: 2.9492 
Epoch: [3][165/196]	 loss 3.19670	 loss_align: 0.2644 loss_distill: 2.9323 
Epoch: [3][170/196]	 loss 3.24210	 loss_align: 0.1739 loss_distill: 3.0682 
Epoch: [3][175/196]	 loss 3.36725	 loss_align: 0.2104 loss_distill: 3.1569 
Epoch: [3][180/196]	 loss 3.05082	 loss_align: 0.1634 loss_distill: 2.8874 
Epoch: [3][185/196]	 loss 3.22340	 loss_align: 0.2134 loss_distill: 3.0100 
Epoch: [3][190/196]	 loss 3.22600	 loss_align: 0.2463 loss_distill: 2.9797 
Epoch: [3][195/196]	 loss 1.14523	 loss_align: 0.0409 loss_distill: 1.1043 
Train Epoch: 3 Avg Loss: 3.3266 Batch_size: 256 lr: 0.04730274 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [4][0/196]	 loss 3.23034	 loss_align: 0.2374 loss_distill: 2.9930 
Epoch: [4][5/196]	 loss 3.46278	 loss_align: 0.1645 loss_distill: 3.2983 
Epoch: [4][10/196]	 loss 3.26558	 loss_align: 0.1737 loss_distill: 3.0919 
Epoch: [4][15/196]	 loss 3.24248	 loss_align: 0.2048 loss_distill: 3.0377 
Epoch: [4][20/196]	 loss 3.15216	 loss_align: 0.2495 loss_distill: 2.9027 
Epoch: [4][25/196]	 loss 3.02401	 loss_align: 0.2063 loss_distill: 2.8177 
Epoch: [4][30/196]	 loss 3.26580	 loss_align: 0.1596 loss_distill: 3.1062 
Epoch: [4][35/196]	 loss 3.23880	 loss_align: 0.1558 loss_distill: 3.0830 
Epoch: [4][40/196]	 loss 3.41378	 loss_align: 0.1883 loss_distill: 3.2255 
Epoch: [4][45/196]	 loss 3.00740	 loss_align: 0.2876 loss_distill: 2.7198 
Epoch: [4][50/196]	 loss 3.23908	 loss_align: 0.2318 loss_distill: 3.0073 
Epoch: [4][55/196]	 loss 3.16544	 loss_align: 0.1985 loss_distill: 2.9669 
Epoch: [4][60/196]	 loss 3.32000	 loss_align: 0.2515 loss_distill: 3.0685 
Epoch: [4][65/196]	 loss 3.08905	 loss_align: 0.2557 loss_distill: 2.8333 
Epoch: [4][70/196]	 loss 3.33028	 loss_align: 0.2651 loss_distill: 3.0652 
Epoch: [4][75/196]	 loss 3.32366	 loss_align: 0.2488 loss_distill: 3.0749 
Epoch: [4][80/196]	 loss 3.22604	 loss_align: 0.2297 loss_distill: 2.9964 
Epoch: [4][85/196]	 loss 3.36406	 loss_align: 0.2480 loss_distill: 3.1160 
Epoch: [4][90/196]	 loss 3.24657	 loss_align: 0.1918 loss_distill: 3.0548 
Epoch: [4][95/196]	 loss 2.93598	 loss_align: 0.1407 loss_distill: 2.7952 
Epoch: [4][100/196]	 loss 3.35187	 loss_align: 0.2852 loss_distill: 3.0667 
Epoch: [4][105/196]	 loss 3.30340	 loss_align: 0.1731 loss_distill: 3.1303 
Epoch: [4][110/196]	 loss 3.15810	 loss_align: 0.2040 loss_distill: 2.9541 
Epoch: [4][115/196]	 loss 3.26945	 loss_align: 0.1782 loss_distill: 3.0913 
Epoch: [4][120/196]	 loss 3.20881	 loss_align: 0.1555 loss_distill: 3.0533 
Epoch: [4][125/196]	 loss 3.10788	 loss_align: 0.1319 loss_distill: 2.9760 
Epoch: [4][130/196]	 loss 2.87594	 loss_align: 0.2455 loss_distill: 2.6304 
Epoch: [4][135/196]	 loss 3.27804	 loss_align: 0.2499 loss_distill: 3.0281 
Epoch: [4][140/196]	 loss 3.30432	 loss_align: 0.2433 loss_distill: 3.0611 
Epoch: [4][145/196]	 loss 3.41913	 loss_align: 0.1478 loss_distill: 3.2713 
Epoch: [4][150/196]	 loss 3.08251	 loss_align: 0.1439 loss_distill: 2.9386 
Epoch: [4][155/196]	 loss 3.07239	 loss_align: 0.2235 loss_distill: 2.8489 
Epoch: [4][160/196]	 loss 2.98120	 loss_align: 0.1657 loss_distill: 2.8155 
Epoch: [4][165/196]	 loss 3.37526	 loss_align: 0.2113 loss_distill: 3.1639 
Epoch: [4][170/196]	 loss 3.14891	 loss_align: 0.2929 loss_distill: 2.8560 
Epoch: [4][175/196]	 loss 3.41426	 loss_align: 0.2389 loss_distill: 3.1754 
Epoch: [4][180/196]	 loss 3.36119	 loss_align: 0.2272 loss_distill: 3.1340 
Epoch: [4][185/196]	 loss 3.29494	 loss_align: 0.2032 loss_distill: 3.0917 
Epoch: [4][190/196]	 loss 3.16811	 loss_align: 0.1729 loss_distill: 2.9952 
Epoch: [4][195/196]	 loss 0.76678	 loss_align: 0.0810 loss_distill: 0.6858 
Train Epoch: 4 Avg Loss: 3.2105 Batch_size: 256 lr: 0.04570624 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [5][0/196]	 loss 3.01397	 loss_align: 0.2347 loss_distill: 2.7793 
Epoch: [5][5/196]	 loss 3.05535	 loss_align: 0.1727 loss_distill: 2.8827 
Epoch: [5][10/196]	 loss 2.89304	 loss_align: 0.1905 loss_distill: 2.7025 
Epoch: [5][15/196]	 loss 3.27383	 loss_align: 0.2162 loss_distill: 3.0576 
Epoch: [5][20/196]	 loss 3.12766	 loss_align: 0.2081 loss_distill: 2.9196 
Epoch: [5][25/196]	 loss 3.20822	 loss_align: 0.1786 loss_distill: 3.0296 
Epoch: [5][30/196]	 loss 3.05457	 loss_align: 0.1744 loss_distill: 2.8802 
Epoch: [5][35/196]	 loss 3.08263	 loss_align: 0.1930 loss_distill: 2.8896 
Epoch: [5][40/196]	 loss 3.32521	 loss_align: 0.1723 loss_distill: 3.1529 
Epoch: [5][45/196]	 loss 3.26692	 loss_align: 0.1570 loss_distill: 3.1099 
Epoch: [5][50/196]	 loss 3.15182	 loss_align: 0.2096 loss_distill: 2.9422 
Epoch: [5][55/196]	 loss 2.98481	 loss_align: 0.1861 loss_distill: 2.7987 
Epoch: [5][60/196]	 loss 3.34730	 loss_align: 0.2763 loss_distill: 3.0710 
Epoch: [5][65/196]	 loss 3.31162	 loss_align: 0.2839 loss_distill: 3.0277 
Epoch: [5][70/196]	 loss 3.06064	 loss_align: 0.2050 loss_distill: 2.8557 
Epoch: [5][75/196]	 loss 3.18821	 loss_align: 0.2063 loss_distill: 2.9820 
Epoch: [5][80/196]	 loss 3.12930	 loss_align: 0.2437 loss_distill: 2.8856 
Epoch: [5][85/196]	 loss 3.28353	 loss_align: 0.2404 loss_distill: 3.0431 
Epoch: [5][90/196]	 loss 3.07494	 loss_align: 0.1646 loss_distill: 2.9104 
Epoch: [5][95/196]	 loss 3.21969	 loss_align: 0.1937 loss_distill: 3.0260 
Epoch: [5][100/196]	 loss 2.93525	 loss_align: 0.2304 loss_distill: 2.7048 
Epoch: [5][105/196]	 loss 2.88984	 loss_align: 0.1816 loss_distill: 2.7083 
Epoch: [5][110/196]	 loss 3.49100	 loss_align: 0.3297 loss_distill: 3.1613 
Epoch: [5][115/196]	 loss 3.19858	 loss_align: 0.1865 loss_distill: 3.0121 
Epoch: [5][120/196]	 loss 3.17264	 loss_align: 0.1590 loss_distill: 3.0136 
Epoch: [5][125/196]	 loss 3.28953	 loss_align: 0.2379 loss_distill: 3.0516 
Epoch: [5][130/196]	 loss 3.33256	 loss_align: 0.1905 loss_distill: 3.1421 
Epoch: [5][135/196]	 loss 2.91654	 loss_align: 0.1669 loss_distill: 2.7496 
Epoch: [5][140/196]	 loss 2.99558	 loss_align: 0.1314 loss_distill: 2.8641 
Epoch: [5][145/196]	 loss 3.17152	 loss_align: 0.2004 loss_distill: 2.9712 
Epoch: [5][150/196]	 loss 3.06444	 loss_align: 0.2392 loss_distill: 2.8252 
Epoch: [5][155/196]	 loss 3.04868	 loss_align: 0.1804 loss_distill: 2.8683 
Epoch: [5][160/196]	 loss 3.06653	 loss_align: 0.1632 loss_distill: 2.9033 
Epoch: [5][165/196]	 loss 3.10056	 loss_align: 0.1943 loss_distill: 2.9062 
Epoch: [5][170/196]	 loss 3.29060	 loss_align: 0.1739 loss_distill: 3.1167 
Epoch: [5][175/196]	 loss 3.12420	 loss_align: 0.2042 loss_distill: 2.9200 
Epoch: [5][180/196]	 loss 2.97952	 loss_align: 0.1211 loss_distill: 2.8584 
Epoch: [5][185/196]	 loss 3.08881	 loss_align: 0.1861 loss_distill: 2.9027 
Epoch: [5][190/196]	 loss 2.92248	 loss_align: 0.1457 loss_distill: 2.7768 
Epoch: [5][195/196]	 loss 0.57796	 loss_align: 0.0371 loss_distill: 0.5408 
Train Epoch: 5 Avg Loss: 3.1184 Batch_size: 256 lr: 0.04378398 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [6][0/196]	 loss 3.03161	 loss_align: 0.1685 loss_distill: 2.8631 
Epoch: [6][5/196]	 loss 3.10194	 loss_align: 0.1656 loss_distill: 2.9364 
Epoch: [6][10/196]	 loss 3.27550	 loss_align: 0.2678 loss_distill: 3.0077 
Epoch: [6][15/196]	 loss 2.91162	 loss_align: 0.2189 loss_distill: 2.6928 
Epoch: [6][20/196]	 loss 2.98160	 loss_align: 0.2065 loss_distill: 2.7751 
Epoch: [6][25/196]	 loss 3.17637	 loss_align: 0.2064 loss_distill: 2.9700 
Epoch: [6][30/196]	 loss 2.67972	 loss_align: 0.0976 loss_distill: 2.5821 
Epoch: [6][35/196]	 loss 3.11565	 loss_align: 0.2114 loss_distill: 2.9043 
Epoch: [6][40/196]	 loss 3.08842	 loss_align: 0.1630 loss_distill: 2.9254 
Epoch: [6][45/196]	 loss 3.17387	 loss_align: 0.2022 loss_distill: 2.9716 
Epoch: [6][50/196]	 loss 2.97993	 loss_align: 0.1819 loss_distill: 2.7980 
Epoch: [6][55/196]	 loss 3.10721	 loss_align: 0.1838 loss_distill: 2.9234 
Epoch: [6][60/196]	 loss 2.92274	 loss_align: 0.2017 loss_distill: 2.7210 
Epoch: [6][65/196]	 loss 3.08637	 loss_align: 0.1538 loss_distill: 2.9326 
Epoch: [6][70/196]	 loss 3.21944	 loss_align: 0.1577 loss_distill: 3.0618 
Epoch: [6][75/196]	 loss 3.02995	 loss_align: 0.1798 loss_distill: 2.8501 
Epoch: [6][80/196]	 loss 3.39071	 loss_align: 0.2650 loss_distill: 3.1257 
Epoch: [6][85/196]	 loss 2.88900	 loss_align: 0.1416 loss_distill: 2.7474 
Epoch: [6][90/196]	 loss 3.04518	 loss_align: 0.1574 loss_distill: 2.8878 
Epoch: [6][95/196]	 loss 3.16633	 loss_align: 0.2049 loss_distill: 2.9614 
Epoch: [6][100/196]	 loss 2.81523	 loss_align: 0.1657 loss_distill: 2.6495 
Epoch: [6][105/196]	 loss 2.96666	 loss_align: 0.1688 loss_distill: 2.7978 
Epoch: [6][110/196]	 loss 2.84856	 loss_align: 0.1811 loss_distill: 2.6674 
Epoch: [6][115/196]	 loss 3.03478	 loss_align: 0.1562 loss_distill: 2.8786 
Epoch: [6][120/196]	 loss 2.96484	 loss_align: 0.0908 loss_distill: 2.8741 
Epoch: [6][125/196]	 loss 2.93000	 loss_align: 0.1511 loss_distill: 2.7789 
Epoch: [6][130/196]	 loss 3.14952	 loss_align: 0.1872 loss_distill: 2.9623 
Epoch: [6][135/196]	 loss 3.06946	 loss_align: 0.1585 loss_distill: 2.9109 
Epoch: [6][140/196]	 loss 3.12835	 loss_align: 0.1491 loss_distill: 2.9792 
Epoch: [6][145/196]	 loss 2.99410	 loss_align: 0.1817 loss_distill: 2.8124 
Epoch: [6][150/196]	 loss 2.88156	 loss_align: 0.2650 loss_distill: 2.6166 
Epoch: [6][155/196]	 loss 2.96171	 loss_align: 0.1827 loss_distill: 2.7790 
Epoch: [6][160/196]	 loss 3.19063	 loss_align: 0.1938 loss_distill: 2.9968 
Epoch: [6][165/196]	 loss 3.02505	 loss_align: 0.1535 loss_distill: 2.8715 
Epoch: [6][170/196]	 loss 2.99592	 loss_align: 0.1809 loss_distill: 2.8150 
Epoch: [6][175/196]	 loss 3.06039	 loss_align: 0.2181 loss_distill: 2.8423 
Epoch: [6][180/196]	 loss 3.11660	 loss_align: 0.1513 loss_distill: 2.9653 
Epoch: [6][185/196]	 loss 3.10125	 loss_align: 0.1315 loss_distill: 2.9698 
Epoch: [6][190/196]	 loss 2.96483	 loss_align: 0.1584 loss_distill: 2.8064 
Epoch: [6][195/196]	 loss 0.86656	 loss_align: 0.0385 loss_distill: 0.8280 
Train Epoch: 6 Avg Loss: 3.0523 Batch_size: 256 lr: 0.04156628 txt_file: ./preparing_clip/pth/cifar100_a_photo_of_label.pth n_ctx:40
Epoch: [7][0/196]	 loss 2.93451	 loss_align: 0.1909 loss_distill: 2.7436 
Epoch: [7][5/196]	 loss 3.31551	 loss_align: 0.2219 loss_distill: 3.0936 
